subject,status,mcgill_code,mcgill_title,host_code,host_title,institution,country
ACCT,Not Equivalent,ACCT351,Intermediate Financial Accounting 1,BUS2257,Accounting and Business Analysis,University of Western Ontario (UWO),Canada
ACCT,Not Equivalent,ACCT354,Financial Statement Analysis,E2800290,Financial Accounting Application,Peking University,China
ACCT,Not Equivalent,ACCT354,Financial Statement Analysis,30588,FINANCIAL STATEMENT ANALYSIS FOR COMPANY VALUATION,Luigi Bocconi University,Italy
ACCT,Not Equivalent,ACCT361,Management Accounting,COMM305,Managerial Accounting,Concordia University,Canada
ACCT,Not Equivalent,ACCT361,Management Accounting,02832480,Cost and Managerial Accounting,Peking University,China
ACCT,Equivalent,ACCT361,Management Accounting,ACCT4,Managerial Accounting,Butte College,USA
ACCT,Not Equivalent,ACCT385,Principles of Taxation,1DP044,international financial management,Prague University of Economics and Business (VSE),Czech Republic
ACCT,Equivalent,ACCT401,Sustainability and Environmental Accounting,GEOG3214,Corporate Social Responsibility and Environmental Auditing,The University of Hong Kong (HKU),"Hong Kong, SAR"
ACCT,Not Equivalent,ACCT401,Sustainability and Environmental Accounting,ACCFIN4092,Climate Accounting and ESG Reporting,The University of Glasgow,"Scotland, UK"
ACCT,Not Equivalent,ACCT434,Topics in Accounting 1,ACCFIN4002,Ethics in Accounting and Business,The University of Glasgow,"Scotland, UK"
ACCT,Not Equivalent,ACCT434,Topics in Accounting 1,ACCFIN4031,Accountability and Human Rights,The University of Glasgow,"Scotland, UK"
ACCT,Not Equivalent,ACCT451,Data Analytics in Capital Market,NA,Foundation of Finanace,Comillas Pontifical University,Spain
ACCT,Not Equivalent,ACCT452,Financial Reporting Valuation,BUILDINGFINANCIALPROJECTIONS,BUILDING FINANCIAL PROJECTIONS,IE University - Madrid,Spain
ACCTXXX,Not Equivalent,ACCTXXX,Accounting XXX,4QQMB101,Accounting and Financial Reporting,University of London - King's College London,"England, UK"
AEBI,Equivalent,AEBI120,General Biology,BIOL201,introductory biology,Concordia University,Canada
AEBI,Not Equivalent,AEBI120,General Biology,BIOL1020,Fundamentals of Biology: Molecules to Cells,Dalhousie University,Canada
AEBI,Equivalent,AEBI120,General Biology,BIOL1110,Introductory Biology 1,Kwantlen Poly University,Canada
AEBI,Equivalent,AEBI120,General Biology,BIOL103,Fundamentals of Biology: Organisms to Ecosystems,Queen's University,Canada
AEBI,Not Equivalent,AEBI120,General Biology,BIOL1070,Discovering Biodiversity,University of Guelph,Canada
AEBI,Equivalent,AEBI120,General Biology,BIO1530,Introduction à la biologie des organismes,University of Ottawa,Canada
AEBI,Equivalent,AEBI120,General Biology,BIO120,Adaptation & Biodiversity,University of Toronto,Canada
AEBI,Equivalent,AEBI120,General Biology,1901157W,Introduction to Biology with Lab,Nanjing University of Aeronautics and Astronautics,China
AEBI,Equivalent,AEBI120,General Biology,1901197W,Introductory Biology,Nanjing University of Aeronautics and Astronautics,China
AEBI,Equivalent,AEBI120,General Biology,ENV103,Biology,École Polytechnique Fédérale de Lausanne,Switzerland
AEBI,Not Equivalent,AEBI120,General Biology,BIOL10,Introductory Biology,De Anza College,USA
AEBI,Equivalent,AEBI120,General Biology,BIO1111 AND BIO1112,,Pikes Peak State College (post 2022),USA
AEBI,Not Equivalent,AEBI120,General Biology,BSC2010C,General Biology I,Seminole State College of Florida,USA
AEBI,Not Equivalent,AEBI120,General Biology,BIOL150,Introduction to Biology,University of Jamestown,USA
AEBI,Equivalent,AEBI120,General Biology,BCOR1450,Exploring Biology 2,University of Vermont,USA
AEBI,Not Equivalent,AEBI122,Cell Biology,BIOL204,Principles of Biology I,Athabasca University,Canada
AEBI,Not Equivalent,AEBI122,Cell Biology,BIOL1021,Introductory Biology II: Organismal Biology and Ecology,Dalhousie University,Canada
AEBI,Not Equivalent,AEBI122,Cell Biology,2131,BIOL,Thompson Rivers University,Canada
AEBI,Not Equivalent,AEBI122,Cell Biology,BIOL2131,Cell and Molecular Biology,Thompson Rivers University,Canada
AEBI,Not Equivalent,AEBI122,Cell Biology,1901085W,Cellular and Molecular Biology with lab,Nanjing University of Aeronautics and Astronautics,China
AEBI,Equivalent,AEBI122,Cell Biology,BIOL200,Foundation of living systems,Brown University,USA
AEBI,Equivalent,AEBI122,Cell Biology,BIO181,Unity Of Life: Life Of The Cell,Northern Arizona University,USA
AEBI,Equivalent,AEBI122,Cell Biology,BIOL110,General Biology I,Siena College,USA
AEBI,Equivalent,AEBI122,Cell Biology,BCOR1400,Exploring Biology,University of Vermont,USA
AEBI,Not Equivalent,AEBI210,Organisms 1,BIOS2011,Evolutionary and Physiological Ecology,University of New South Wales (UNSW),Australia
AEBI,Not Equivalent,AEBI210,Organisms 1,BIO1334,Biodiversité 1,Universite de Montreal,Canada
AEBI,Not Equivalent,AEBI210,Organisms 1,BIO1534,Physiologie végétale,Universite de Montreal,Canada
AEBI,Equivalent,AEBI210,Organisms 1,1901540W,Introduction to plant biology,Nanjing University of Aeronautics and Astronautics,China
AEBI,Not Equivalent,AEBI210,Organisms 1,BILG08016,The Green Planet 2,The University of Edinburgh,"Scotland, UK"
AEBI,Not Equivalent,AEBI210,Organisms 1,BILG09021,Molecular and Synthetic Plant Biology 3,The University of Edinburgh,"Scotland, UK"
AEBI,Equivalent,AEBI210,Organisms 1,BS3018,Plant Biology,Nanyang Technological University,Singapore
AEBI,Not Equivalent,AEBI210,Organisms 1,ENV220,Fundamentals in ecology,École Polytechnique Fédérale de Lausanne,Switzerland
AEBI,Equivalent,AEBI211,Organisms 2,BIOL226 AND BIOL225,,Concordia University,Canada
AEBI,Not Equivalent,AEBI211,Organisms 2,1901967W,Animal Biology,Nanjing University of Aeronautics and Astronautics,China
AEBI,Equivalent,AEBI212,Evolution and Phylogeny,BIOL2201,Evolution,University of Queensland (UQ),Australia
AEBI,Not Equivalent,AEBI212,Evolution and Phylogeny,BIOL1996,Life and Evolution,University of Sydney,Australia
AEBI,Equivalent,AEBI212,Evolution and Phylogeny,BIO1284,Évolution,Universite de Montreal,Canada
AEBI,Equivalent,AEBI212,Evolution and Phylogeny,BIOL213,"Ecology, Evolution and the Biosphere",University of Calgary,Canada
AEBI,Equivalent,AEBI212,Evolution and Phylogeny,1901538W,Evolution and phylogeny,Nanjing University of Aeronautics and Astronautics,China
AEBI,Not Equivalent,AEBI2XX,Biology (Agric & Envir Sc) 2XX,MSCI0501,The Marine Environment,University of New South Wales (UNSW),Australia
AEBIXXX,Not Equivalent,AEBIXXX,Biology (Agric & Envir Sc) XXX,BIOL3030,Urban Ecology,University of Queensland (UQ),Australia
AEBIXXX,Not Equivalent,AEBIXXX,Biology (Agric & Envir Sc) XXX,NS220,Food and Agriculture,John Cabot University,Italy
AEBIXXX,Not Equivalent,AEBIXXX,Biology (Agric & Envir Sc) XXX,5512FFET6Y,Food Forestry: Experiencing the Future of Nature and Agriculture,University of Amsterdam,Netherlands
AEBIXXX,Not Equivalent,AEBIXXX,Biology (Agric & Envir Sc) XXX,LSM3256,Tropical Horticulture,National University of Singapore,Singapore
AEBIXXX,Not Equivalent,AEBIXXX,Biology (Agric & Envir Sc) XXX,BSC1010C,General Biology I w/Lab,Lake-Sumter State College,USA
AEBIXXX,Not Equivalent,AEBIXXX,Biology (Agric & Envir Sc) XXX,BSC1011C,General Biology II w/Lab,Lake-Sumter State College,USA
AECH,Equivalent,AECH110,General Chemistry 1,CHEM1110,The Structure of Matter,Kwantlen Poly University,Canada
AECH,Not Equivalent,AECH110,General Chemistry 1,CHM1963,Chimie générale,Universite de Montreal,Canada
AECH,Not Equivalent,AECH110,General Chemistry 1,CHM1711,Principes de chimie,University of Ottawa,Canada
AECH,Equivalent,AECH110,General Chemistry 1,101,CHEM,Howard Community College,USA
AECH,Equivalent,AECH110,General Chemistry 1,CHE1011,Introduction to Chemistry 1 w/Lab,Pikes Peak State College (post 2022),USA
AECH,Equivalent,AECH110,General Chemistry 1,CHEM133,General Chemistry 1,University of Jamestown,USA
AECH,Equivalent,AECH110,General Chemistry 1,CHEM1400,General Chemistry 1,University of Vermont,USA
AECH,Equivalent,AECH110 AND AECH111,,General Chemistry 2,CHEM112,Queen's University,Canada
AECH,Equivalent,AECH111,General Chemistry 2,CHEM206,General Chemistry 2,Concordia University,Canada
AECH,Equivalent,AECH111,General Chemistry 2,CHEM1220,General Chemistry II,Langara College,Canada
AECH,Equivalent,AECH111,General Chemistry 2,CHM135H1S,Chemistry: Physical Principles,University of Toronto,Canada
AECH,Equivalent,AECH111,General Chemistry 2,CHM0160,Chimie des solutions,Université Laval,Canada
AECH,Equivalent,AECH111,General Chemistry 2,1901229W,General Chemistry II with Lab,Nanjing University of Aeronautics and Astronautics,China
AECH,Not Equivalent,AECH111,General Chemistry 2,CH114,General Chemistry II,Trine University,USA
AECH,Equivalent,AECH111,General Chemistry 2,CHEM134,General Chemistry II,University of Jamestown,USA
AECH,Equivalent,AECH111,General Chemistry 2,CHEM1450,General chemistry 2,University of Vermont,USA
AECH,Not Equivalent,AECH111,General Chemistry 2,CHEM201,General Chemistry,American University in Dubai,United Arab Emirates
AECH,Equivalent,AECH1XX,Chemistry (Agric&EnvirSci) 1XX,CHEM142,PRINCIPLES OF MODERN CHEMISTRY II,University of Arizona,USA
AECH,Not Equivalent,AECH2XX,Chemistry (Agric&EnvirSci) 2XX,21321,Pharmaceutics I,The Arab International University,Syria
AEHM,Equivalent,AEHM2XX,English (Agric & Envir Sc) 2XX,SBM2006,Analyse de la communication scientifique,Universite de Montreal,Canada
AEMA,Equivalent,AEMA100,Precalculus Mathematics,MATH130,Mathematics for Biochemistry and Life Sciences,Queen's University,Canada
AEMA,Equivalent,AEMA101,Calculus 1,MATH265,Introduction to Calculus 1,Athabasca University,Canada
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,MATH100,Calculus 1,Camosun College,Canada
AEMA,Equivalent,AEMA101,Calculus 1,MATH203,Differential & Intergal Calculus I,Concordia University,Canada
AEMA,Equivalent,AEMA101,Calculus 1,MATH1000,Differential & Integral Calculus I,Dalhousie University,Canada
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,MATH1130,Calculus for Life Sciences 1,Kwantlen Poly University,Canada
AEMA,Equivalent,AEMA101,Calculus 1,MATH1141,Calculus 1,Thompson Rivers University,Canada
AEMA,Equivalent,AEMA101,Calculus 1,MAT1903,calcul differenciel,Universite de Montreal,Canada
AEMA,Equivalent,AEMA101,Calculus 1,MAT900,Notions fondamentales de calcul differentiel,Universite de Sherbrooke,Canada
AEMA,Not Equivalent,AEMA101,Calculus 1,MATH1080,Elements of Calculus 1,University of Guelph,Canada
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,MAT135,Calculus 1,University of Toronto,Canada
AEMA,Equivalent,AEMA101,Calculus 1,MAT0150,Calcul différentiel,Université Laval,Canada
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,1900825W,Calculus I,Nanjing University of Aeronautics and Astronautics,China
AEMA,Equivalent,AEMA101,Calculus 1,5211,Calculus 1,University of Shanghai for Science and Technology,China
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,MATH141,Calculus I,Bard College,USA
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,MTH2610,Calculus I,Baruch College (CUNY),USA
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,280,CALCULUS I,Bergen Community College,USA
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,MAT301,Analytic Geometry and Calculus I,Borough of Manhattan Community College (CUNY),USA
AEMA,Equivalent,AEMA101,Calculus 1,MATH112,Calculus 1,Brigham Young University,USA
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,MATH150,Calculus 1,Hunter College (CUNY),USA
AEMA,Not Equivalent,AEMA101,Calculus 1 with Precalculus,MAT290,Calculus I for Engineering & Science,Middlesex Community College,USA
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,161,Calculus 1,Millersville University of Pennsylvania,USA
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,MAUY1024,Calculus 1,New York University (NYU),USA
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,MAT205,Calculus 1,Orange County Comm College,USA
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,MAT2410,Calculus 1,Pikes Peak State College (post 2022),USA
AEMA,Not Equivalent,AEMA101,Calculus 1,MAT1440,Precalculus,Pikes Peak State College (post 2022),USA
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,MTH251,Calculus 1,Portland State University,USA
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,1730,University Calculus I,Saint John's University,USA
