code,subject,title,credits,prereq_text,prereq_codes,coreq_text,coreq_codes,restrictions,description
AAAA100,AAAA,,0,,,,,,
ACCT351,ACCT,Intermediate Financial Accounting 1,3,MGCR 211,MGCR211,,,Not open to U0 students,
ACCT352,ACCT,Intermediate Financial Accounting 2,3,ACCT 351 and MGCR 341,ACCT351 MGCR341,,,,
ACCT354,ACCT,Financial Statement Analysis,3,MGCR 211 and MGCR 341,MGCR211 MGCR341,,,,
ACCT361,ACCT,Management Accounting,3,MGCR 211,MGCR211,,,Not open to U0 students,
ACCT362,ACCT,Cost Accounting,3,ACCT 361,ACCT361,,,,
ACCT385,ACCT,Principles of Taxation,3,MGCR 211,MGCR211,,,Not open to U0 students,
ACCT401,ACCT,Sustainability and Environmental Accounting,3,MGCR 211 Open only to U2 and U3 students,MGCR211,,,,
ACCT434,ACCT,Topics in Accounting 1,3,MGCR 211,MGCR211,,,Open to U2 and U3 students,
ACCT451,ACCT,Data Analytics in Capital Market,3,"MGCR 211, MGCR 341",MGCR211 MGCR341,,,Open to U2 and U3 students,
ACCT452,ACCT,Financial Reporting Valuation,3,MGCR 211 and MGCR 341,MGCR211 MGCR341,,,Open to U2 and U3 students,
ACCT453,ACCT,Advanced Financial Accounting,3,ACCT 352,ACCT352,,,,
ACCT455,ACCT,Development of Accounting Thought,3,ACCT 352,ACCT352,,,,
ACCT463,ACCT,Management Control,3,ACCT 361,ACCT361,,,,
ACCT475,ACCT,Principles of Auditing,3,ACCT 352,ACCT352,,,,
ACCT486,ACCT,Business Taxation 2,3,ACCT 385,ACCT385,,,,
ACCT604,ACCT,Financial Statements 1,3,,,,,,
ACCT605,ACCT,Financial Statements 2,3,ACCT 604,ACCT604,,,,
ACCT618,ACCT,Financial Reporting: Structure and Analysis,3,,,,,,
ACCT623,ACCT,Intermediate Financial Reporting 2,3,ACCT 622,ACCT622,,,,
ACCT626,ACCT,Data Analytics in Accounting,1.5,(INSY 660 OR INSY 662 OR Instructor's approval) AND (MGSC 660 OR MGSC 661 OR Instructor's approval),INSY660 INSY662 MGSC660 MGSC661,,,,
ACCT645,ACCT,Financial Management in Healthcare,2,,,,,,
ACCT645D1,ACCT,Financial Management in Healthcare,1,,,,,,
ACCT645D2,ACCT,Financial Management in Healthcare,1,ACCT 645D1 No credit will be given for this course unless both ACCT 645D1 and ACCT 645D2 are successfully completed in consecutive terms,ACCT645D1,,,,
ACCT653,ACCT,Issues in Professional Accounting 1,3,,,,,"Open only to students in the Graduate Certificate in Professional Accounting. **Due to the intensive nature of this course, the standard add/drop and withdrawal deadlines do not apply. Add/drop is the third lecture day and withdrawal is June 20, 2023. *Desautels GCPA Prog students only. Intensive course. Add/drop May 23, w/withdrawal Jun 20",
ACCT654,ACCT,Issues in Professional Accounting 2,3,,,,,"Open only to students in the Graduate Certificate in Professional Accounting. **Due to the intensive nature of this course, the standard add/drop and withdrawal deadlines do not apply. Add/drop is the third lecture day and withdrawal is June 20, 2023. *Desautels GCPA Prog students only. Intensive course. Add/drop May 25, w/withdrawal Jun 20",
ACCT663,ACCT,Strategic Aspects of Accounting 1,3,,,,,"Open only to students in the Graduate Certificate in Professional Accounting. **Due to the intensive nature of this course, the standard add/drop and withdrawal deadlines do not apply. Add/drop is the third lecture day and withdrawal is June 20, 2023. *Desautels GCPA Prog students only. Intensive course. Add/drop May 23, w/withdrawal Jun 20",
ACCT664,ACCT,Strategic Aspects of Accounting 2,3,,,,,"Open only to students in the Graduate Certificate in Professional Accounting. **Due to the intensive nature of this course, the standard add/drop and withdrawal deadlines do not apply. Add/drop is the third lecture day and withdrawal is June 20, 2023. *Desautels GCPA Prog students only. Intensive course. Add/drop May 25, w/withdrawal Jun 20",
ACCT683,ACCT,Practice of Taxation,3,"ACCT 653, ACCT 654, ACCT 663, ACCT 664",ACCT653 ACCT654 ACCT663 ACCT664,,,Open only to students in the Graduate Certificate in Professional Accounting (GCPA) program,
ACCT687,ACCT,Assurance Services,3,"ACCT 653, ACCT 654, ACCT 663, ACCT 664",ACCT653 ACCT654 ACCT663 ACCT664,,,Open only to students in the Graduate Certificate in Professional Accounting (GCPA) program,
ACCT689,ACCT,Financial Business Analysis,3,"ACCT 653, ACCT 654, ACCT 663, ACCT 664",ACCT653 ACCT654 ACCT663 ACCT664,,,Open only to students in the Graduate Certificate in Professional Accounting (GCPA) program,
ACCT690,ACCT,Advanced Topics in Accounting 1,3,,,,,,
ACCT695,ACCT,Integrative Analysis,4,"Any two of the following: ACCT 683, ACCT 685, ACCT 687, ACCT 689",ACCT683 ACCT685 ACCT687 ACCT689,ACCT 699,ACCT699,"Open only to students in the Graduate Certificate in Professional Accounting. This is an intensive offering. In addition to Tuesday and Thursday evening classes, there will four (4) Saturday classes offered from 9 to 3 pm. **Due to the intensive nature of this course, the standard add/drop and withdrawal deadlines do not apply. Add/drop is the second lecture day and withdrawal is the fourth lecture day. *Desautels GCPA Prog students only. Intensive course. Add/drop May 17, w/withdrawal Jun 21. **Due to the intensive nature of this course, the standard add/drop and withdrawal deadlines do not a",
ACCT696,ACCT,Advanced Topics in Accounting Analytics,1.5,(INSY 660 OR INSY 662 OR Instructor's approval) AND (MGSC 660 OR MGSC 661 OR Instructor's approval),INSY660 INSY662 MGSC660 MGSC661,,,,
ACCT699,ACCT,Exam Preparation Seminar,8,"Any two courses of the following: ACCT 683, ACCT 685, ACCT 687, ACCT 689",ACCT683 ACCT685 ACCT687 ACCT689,ACCT 695 This is an intensive offering. **Web add deadline is before the start of classes. **No web drop allowed. **No web withdrawal allowed,ACCT695,,
ACCT705,ACCT,,3,,,,,,
ACCT706,ACCT,Research Design in Accounting,3,,,,,,
ACCT707,ACCT,Accountability and Sustainability,3,,,,,,
ACCT710,ACCT,,3,,,,,,
AEBI120,AEBI,Integrated Life Sciences,4,,,,,Not open to students who have taken or are taking BIOL 111 or equivalent,
AEBI210,AEBI,Organisms 1,3,,,,,,
AEBI211,AEBI,Organisms 2,3,,,,,None,
AEBI212,AEBI,Evolution and Phylogeny,3,,,,,,
AEBI421,AEBI,Tropical Horticultural Ecology,3,,,"AEBI 423, AEBI 425, AEBI 427",AEBI423 AEBI425 AEBI427,"Restricted to students that are participating in the Barbados Interdisciplinary Tropical Studies Field Semester **Due to the intensive nature of this course, the standard add/drop and withdrawal deadlines do not apply. Add/drop is the second lecture day and withdrawal is the fifth lecture day. Project course AEBI 427 runs concurrently with the other courses (AEBI 421, AEBI 423 & AEBI 425) and the Mondays of each week are dedicated to AEBI 427",
AEBI423,AEBI,Sustainable Land Use,3,,,"AEBI 421, AEBI 425, AEBI 427",AEBI421 AEBI425 AEBI427,"Restricted to students that are participating in the Barbados Interdisciplinary Tropical Studies Field Semester **Since this course is being taught abroad, la Fête Nationale du Québec (June 24th) and Canada Day (July 1st) statutory holidays will not be taken into consideration. Therefore, students are expected to attend their lectures on both Wednesday, June 24 and Wednesday, July 1, 2020. **Due to the intensive nature of this course, the standard add/drop and withdrawal deadlines do not apply. Add/drop is the third lecture day and withdrawal is the sixth lecture day. Project course AEBI 427 r",
AEBI425,AEBI,Tropical Energy and Food,3,,,"AEBI 421, AEBI 423 and AEBI 427",AEBI421 AEBI423 AEBI427,"Restricted to students that are participating in the Barbados Interdisciplinary Tropical Studies Field Semester **Due to the intensive nature of this course, the standard add/drop and withdrawal deadlines do not apply. Add/drop is the second lecture day and withdrawal is the fifth lecture day. Project course AEBI 427 runs concurrently with the other courses (AEBI 421, AEBI 423 & AEBI 425) and the Mondays of each week are dedicated to AEBI 427",
AEBI427,AEBI,Barbados Interdisciplinary Project,6,,,"AEBI 421, AEBI 423 and AEBI 425",AEBI421 AEBI423 AEBI425,"Restricted to students that are participating in the Barbados Interdisciplinary Tropical Studies Field Semester **Since this course is being taught abroad, the Victoria Day statutory holiday will not be taken into consideration. Therefore, students are expected to attend their lecture on Monday, May 18, 2020. **Due to the intensive nature of this course, the standard add/drop and withdrawal deadlines do not apply. Add/drop is the third lecture day and withdrawal is the sixth lecture day. Project course AEBI 427 runs concurrently with the other courses (AEBI 421, AEBI 423 & AEBI 425) and the Mo",
AEBI665,AEBI,Fundamentals in Advanced Bioimaging,3,,,,,,
AECH110,AECH,General Chemistry 1,4,,,,,Note open to students who have taken FDSC 110,
AECH111,AECH,General Chemistry 2,4,FDSC 110 or AECH 110,FDSC110 AECH110,,,Not open to students who have taken FDSC 111,
AECH118,AECH,General Chemistry Laboratory 1,1,Permission of instructor,,,,"Open only to entering students who have the lecture equivalent of AECH 110. Not open to students who have taken or are taking AECH 110, CHEM 110, or CHEM 112",
AECH119,AECH,General Chemistry Laboratory 2,1,Permission of instructor,,,,"Open only to entering students who have the lecture equivalent of AECH 111. Not open to students who have taken or are taking AECH 111, CHEM 120, or CHEM 122",
AEHM205,AEHM,Science Literacy,3,,,,,,
AEIS230,AEIS,Indigenous Health and Nutrition,3,,,,,"Open to undergraduate students in the Faculty of Agricultural and Environmental Sciences, other students may enroll with permission of the instructor. English language instruction, Fall instruction",
AEMA100,AEMA,Calculus for Life Sciences,4,,,,,"Not open to students who have taken or are taking AEMA 101 and AEMA 102, or equivalent combination",
AEMA101,AEMA,Calculus 1,3,,,,,,
AEMA102,AEMA,Calculus 2,4,Calculus 1 or equivalent,,,,,
AEMA105,AEMA,Precalculus Lab,1,,,,,"Open only to students in FAES whose background is deficient in Precalculus mathematics. Not open to students who have taken CEGEP competency OOUP, AEMA 102, or equivalent. Not open to students who have taken AEMA 100 or MATH 112. Permission of instructor required",
AEMA202,AEMA,Intermediate Calculus,3,BREE 103 and AEMA 102 or equivalent CEGEP objectives 00UP and 00UQ or permission of instructor,BREE103 AEMA102,,,Not open to students who have taken MATH 222,
AEMA204,AEMA,,3,,,,,,
AEMA305,AEMA,Differential Equations,3,AEMA 202 or equivalent,AEMA202,,,Not open to students who have taken MATH 315,
AEMA310,AEMA,Statistical Methods 1,3,,,,,,
AEMA403,AEMA,Environmetrics Stage,3,Permission of the instructor based on satisfactory completion of the U2 year of the Environmetrics Domain in the McGill School of Environment,,,,,
AEMA411,AEMA,Experimental Designs 01,3,AEMA 310 or equivalent Offered in alternate years with AEMA 414 You may not be able to receive credit for this course and other statistic courses. Be sure to check the Course Overlap section under Faculty Degree Requirements in the Arts or Science section of the Calendar,AEMA310 AEMA414,,,,
AEMA414,AEMA,Temporal and Spatial Statistics 01,3,AEMA 310 or equivalent Offered in alternate years with AEMA 411,AEMA310 AEMA411,,,,
AEMA610,AEMA,Statistical Methods 2,3,AEMA 310 or equivalent,AEMA310,,,,
AEMA611,AEMA,Experimental Designs 1,3,AEMA 310 or equivalent,AEMA310,,,,
AEMA614,AEMA,Temporal and Spatial Statistics 1,3,AEMA 310 or equivalent,AEMA310,,,,
AEPH100,AEPH,Elements of Physics,4,,,,,"Not open to students who have taken or are taking AEPH 113 and AEPH 115, or equivalent combination",
AEPH112,AEPH,Introductory Physics 1,4,,,AEMA 101 or equivalent,AEMA101,Not open to students who have passed AEPH 113 or obtained CEGEP competency 00UR. Not open to students in Bioresource Engineering,
AEPH113,AEPH,Physics 1,4,,,AEMA 101 or equivalent,AEMA101,Not open to students who have passed AEPH 112 or obtained CEGEP competency 00UR. Open only to students in Bioresource Engineering,
AEPH114,AEPH,Introductory Physics 2,4,"AEPH 112 or AEPH 113 or PHYS 101 or PHYS 131 or CEGEP objective 00UR or equivalents, or permission of instructor",AEPH112 AEPH113 PHYS101 PHYS131,"AEMA 102 (or MATH 141 or higher level calculus course) or CEGEP objective 00UP, or permission of instructor",AEMA102 MATH141,Not open to students who have taken PHYS 102 or PHYS 142 or AEPH 115 or CEGEP objective 00US or equivalent. Not open to students in Bioresource Engineering,
AEPH115,AEPH,Physics 2,4,AEPH 112 or AEPH 113 or PHYS 101or PHYS 131 or equivalent,AEPH112 AEPH113 PHYS131,AEMA 102 or equivalent,AEMA102,Not open to students who have passed AEPH 114 or obtained CEGEP competencies 00US and 00UT. Open only to students in Bioresource Engineering,
AEPH120,AEPH,Physics Laboratory 1,1,Permission of instructor,,,,"Open only to entering students who have the lecture equivalent of AEPH 112 or AEPH 113. Not open to students who have taken or are taking AEPH 112, AEPH 113, PHYS 101, PHYS 107, PHYS 117, PHYS 131",
AEPH122,AEPH,Physics Laboratory 2,1,Permission of instructor,,,,"Open only to entering students who have the lecture equivalent of AEPH 114 or AEPH 115. Not open to students who have taken or are taking AEPH 114, AEPH 115, PHYS 102, PHYS 108, PHYS 118, PHYS 142",
AERO401,AERO,Introduction to Aerospace Engineering,3,,,,,,
