subject,page,raw_text,col1,col2,col3,col4,col5,col6
ANTH,1,"Legend:	
	  Equivalent
	
	  Not Equivalent
	
	  Expired",Legend:,Equivalent,Not Equivalent,Expired
ANTH,1,Equivalent,Equivalent
ANTH,1,Not Equivalent,Not Equivalent
ANTH,1,Expired,Expired
ANTH,1,"New Search	
	Refine Search",New Search,Refine Search
ANTH,1,"New Search	
	Refine Search",New Search,Refine Search
ANTH,1,"McGill University
	
External Institution",McGill University,External Institution
ANTH,1,"Course
	
Title
	
Course
	
Title
	
Institution
	
Country
	
Status",Course,Title,Course,Title,Institution,Country,Status
ANTH,1,"ANTH201


	
Introduction to Archaeology.


	
AFSV00427


	
Evolution and the Human Mind


	Charles University in Prague	Czech Republic",ANTH201,Introduction to Archaeology.,AFSV00427,Evolution and the Human Mind,Charles University in Prague	Czech Republic
ANTH,1,ANTH201,ANTH201
ANTH,1,Introduction to Archaeology.,Introduction to Archaeology.
ANTH,1,AFSV00427,AFSV00427
ANTH,1,Evolution and the Human Mind,Evolution and the Human Mind
ANTH,1,"ANTH201


	
Introduction to Archaeology.


	
ANTHRO200


	
Archaeology: Understanding the Past


	The University of Auckland / Te Whare Wananga o Tamaki Makaurau	New Zealand",ANTH201,Introduction to Archaeology.,ANTHRO200,Archaeology: Understanding the Past,The University of Auckland / Te Whare Wananga o Tamaki Makaurau	New Zealand
ANTH,1,ANTH201,ANTH201
ANTH,1,Introduction to Archaeology.,Introduction to Archaeology.
ANTH,1,ANTHRO200,ANTHRO200
ANTH,1,Archaeology: Understanding the Past,Archaeology: Understanding the Past
ANTH,1,"ANTH202


	
Socio-Cultural Anthropology


	
SOCI1003


	
Introduction to Anthropology


	The University of Hong Kong (HKU)	Hong Kong, SAR",ANTH202,Socio-Cultural Anthropology,SOCI1003,Introduction to Anthropology,"The University of Hong Kong (HKU)	Hong Kong, SAR"
ANTH,1,ANTH202,ANTH202
ANTH,1,Socio-Cultural Anthropology,Socio-Cultural Anthropology
ANTH,1,SOCI1003,SOCI1003
ANTH,1,Introduction to Anthropology,Introduction to Anthropology
ANTH,1,"ANTH202


	
Socio-Cultural Anthropology.


	
100010


	
Introduction to the Social and cultural anthropology


	Autonomous University of Barcelona	Spain",ANTH202,Socio-Cultural Anthropology.,100010,Introduction to the Social and cultural anthropology,Autonomous University of Barcelona	Spain
ANTH,1,ANTH202,ANTH202
ANTH,1,Socio-Cultural Anthropology.,Socio-Cultural Anthropology.
ANTH,1,100010,100010
ANTH,1,Introduction to the Social and cultural anthropology,Introduction to the Social and cultural anthropology
ANTH,1,"ANTH202


	
Socio-Cultural Anthropology.


	
101133


	
Sociology of Religion


	Autonomous University of Barcelona	Spain",ANTH202,Socio-Cultural Anthropology.,101133,Sociology of Religion,Autonomous University of Barcelona	Spain
ANTH,1,ANTH202,ANTH202
ANTH,1,Socio-Cultural Anthropology.,Socio-Cultural Anthropology.
ANTH,1,101133,101133
ANTH,1,Sociology of Religion,Sociology of Religion
ANTH,1,"ANTH202


	
Socio-Cultural Anthropology.


	
202


	
anth


	Concordia University	Canada",ANTH202,Socio-Cultural Anthropology.,202,anth,Concordia University	Canada
ANTH,1,ANTH202,ANTH202
ANTH,1,Socio-Cultural Anthropology.,Socio-Cultural Anthropology.
ANTH,1,202,202
ANTH,1,anth,anth
ANTH,1,"ANTH202


	
Socio-Cultural Anthropology.


	
ANT102H5


	
Introduction to Sociocultural and Linguistic Anthropology


	University of Toronto	Canada",ANTH202,Socio-Cultural Anthropology.,ANT102H5,Introduction to Sociocultural and Linguistic Anthropology,University of Toronto	Canada
ANTH,1,ANTH202,ANTH202
ANTH,1,Socio-Cultural Anthropology.,Socio-Cultural Anthropology.
ANTH,1,ANT102H5,ANT102H5
ANTH,1,Introduction to Sociocultural and Linguistic Anthropology,Introduction to Sociocultural and Linguistic Anthropology
ANTH,1,"ANTH202


	
Socio-Cultural Anthropology.


	
ANTH101


	
Cultural Anthropology


	Bard College	USA",ANTH202,Socio-Cultural Anthropology.,ANTH101,Cultural Anthropology,Bard College	USA
ANTH,1,ANTH202,ANTH202
ANTH,1,Socio-Cultural Anthropology.,Socio-Cultural Anthropology.
ANTH,1,ANTH101,ANTH101
ANTH,1,Cultural Anthropology,Cultural Anthropology
ANTH,1,"ANTH202


	
Socio-Cultural Anthropology.


	
ANTH202


	
Introduction to Culture


	Concordia University	Canada",ANTH202,Socio-Cultural Anthropology.,ANTH202,Introduction to Culture,Concordia University	Canada
ANTH,1,ANTH202,ANTH202
ANTH,1,Socio-Cultural Anthropology.,Socio-Cultural Anthropology.
ANTH,1,ANTH202,ANTH202
